"Menu","Resto","Nutri score","Eco score","Vegetarien spcécifé","Origine","Prix etudiant","Prix doctorant","Prix visiteur","Prix campus","Prix /100g","Prix etudiant /100g","Prix unique","Prix demi portion","Prix (non traité)","date"
"Gratin of rigatoni, gorgonzola cream, mushrooms, romanesco tips","Arcadie","a","c","","","5.5","6.5","8","7","","","","","E 5.50 CHFD 6.50 CHFC 7.00 CHFV 8.00 CHF","1/5/2022"
"Mozzarella balls with sun-dried tomatoes and capers, caponata, wheat semolina, salad","Arcadie","b+","c","","","","","","","","","12.00","","12.00 CHF","1/5/2022"
"Macaroni du Chalet (leeks, Gruyère) vegetarian","Le Klee by Novae","a-","b","1","","7.5","8.5","9","8","","","","","E 7.50 CHFD 8.50 CHFC 8.00 CHFV 9.00 CHF","1/5/2022"
"Tajine of beef and merguez, semolina and vegetables","Microcity","a","c","","","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","1/5/2022"
"Pizza Florentine","Microcity","b+","b","","","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","1/5/2022"
"Penne with garlic and peppers, pesto, spinach shoots and parmesan crumble","Microcity","a-","b","","","7.5","8","9","8.5","","","","","E 7.50 CHFD 8.00 CHFC 8.50 CHFV 9.00 CHF","1/5/2022"
"Buddha Bowl with smoked salmon, mango and vinaigrette","Microcity","a-","b","","","12","12","12","12","","","","","E 12.00 CHFD 12.00 CHFC 12.00 CHFV 12.00 CHF","1/5/2022"
"Baked sea bream and red mullet with dill sauce and pink shrimp","Ornithorynque","a-","b","","","12","13","15","14","","","","","E 12.00 CHFD 13.00 CHFC 14.00 CHFV 15.00 CHF","1/5/2022"
"Fusilli ""Grano d'oro"", broccoli, tomato sauce, arugula","Ornithorynque","b+","c","","","5.5","6.5","8","7","","","","","E 5.50 CHFD 6.50 CHFC 7.00 CHFV 8.00 CHF","1/5/2022"
"Orni'Burger- 100% Swiss beef burger with relishOrigin: Suisse","Ornithorynque","b-","c","","Suisse","9","9.5","11","10","","","","","E 9.00 CHFD 9.50 CHFC 10.00 CHFV 11.00 CHF","1/5/2022"
"Swiss Beef Spaghetti Bolognese
Arugula Bouquet","Alpine","b+","c","","","8","9","11","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 11.00 CHF","1/6/2022"
"Fried Pasta with Asian Vegetables
Mixed nuts and fried onions","Alpine","c+","c","","","10.5","11","12.5","11.5","","","","","D 11.00 CHFE 10.50 CHFC 11.50 CHFV 12.50 CHF","1/6/2022"
"Alpine Rösti
Cheese from our regions
Fried egg
Salad of the moment","Alpine","e","c","","","11.5","12","13.5","12.5","","","","","E 11.50 CHFD 12.00 CHFC 12.50 CHFV 13.50 CHF","1/6/2022"
"Cappelletti with raw ham, lemon cream and seasonal vegetables","Arcadie","a","c","","","","","","","2.3","","","","2.30 CHF/100g","1/6/2022"
"Gratin of rigatoni, gorgonzola cream, mushrooms, romanesco tips","Arcadie","a","c","","","5.5","6.5","8","7","","","","","E 5.50 CHFD 6.50 CHFC 7.00 CHFV 8.00 CHF","1/6/2022"
"Mozzarella balls with sun-dried tomatoes and capers, caponata, wheat semolina, salad","Arcadie","b+","c","","","","","","","","","12.00","","12.00 CHF","1/6/2022"
"Polenta cake with Gruyère cheese, bacon and seasonal salad","Le Klee by Novae","b","c","","","5.5","6.5","8","7","","","","","E 5.50 CHFD 6.50 CHFC 7.00 CHFV 8.00 CHF","1/6/2022"
"Roasted half chicken, grenaille potatoes with rosemary","Microcity","a","c","","","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","1/6/2022"
"Beet, red bean, cheddar, guacamole and broccoli quesadillas
 vegetarian","Microcity","a-","b","1","","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","1/6/2022"
"Penne with garlic and peppers, pesto, spinach shoots and parmesan crumble
 vegetarian","Microcity","a-","b","1","","7.5","8","9","8.5","","","","","E 7.50 CHFD 8.00 CHFC 8.50 CHFV 9.00 CHF","1/6/2022"
"Buddha Bowl with smoked salmon, mango and vinaigrette","Microcity","a-","b","","","12","12","12","12","","","","","E 12.00 CHFD 12.00 CHFC 12.00 CHFV 12.00 CHF","1/6/2022"
"Turkey cordon bleu with Vacherin fribourgeois, potato and carrot gratin","Ornithorynque","a-","d","","","12","13","15","14","","","","","E 12.00 CHFD 13.00 CHFC 14.00 CHFV 15.00 CHF","1/6/2022"
"Fusilli ""Grano d'oro"", broccoli, tomato sauce, arugula","Ornithorynque","b+","c","","","5.5","6.5","8","7","","","","","E 5.50 CHFD 6.50 CHFC 7.00 CHFV 8.00 CHF","1/6/2022"
"Orni'Burger- 100% Swiss beef burger with relishOrigin: Suisse","Ornithorynque","b-","c","","Suisse","9","9.5","11","10","","","","","E 9.00 CHFD 9.50 CHFC 10.00 CHFV 11.00 CHF","1/6/2022"
"Oriental style Pangasius ASC skewer
Couscous
Tajine vegetables","Alpine","b+","c","","","8","9","11","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 11.00 CHF","1/7/2022"
"Massaman Poultry Curry
Thai rice
Stir-fried vegetables","Alpine","b+","d","","","10.5","11","12.5","11.5","","","","","D 11.00 CHFE 10.50 CHFC 11.50 CHFV 12.50 CHF","1/7/2022"
"Choice of grilled meats","Alpine","a-","d","","","","","","","","","12.50","","12.50 CHF","1/7/2022"
"Cappelletti with raw ham, lemon cream and seasonal vegetables","Arcadie","a","c","","","","","","","2.3","","","","2.30 CHF/100g","1/7/2022"
"Gratin of rigatoni, gorgonzola cream, mushrooms, romanesco tips","Arcadie","a","c","","","5.5","6.5","8","7","","","","","E 5.50 CHFD 6.50 CHFC 7.00 CHFV 8.00 CHF","1/7/2022"
"Mozzarella balls with sun-dried tomatoes and capers, caponata, wheat semolina, salad","Arcadie","b+","c","","","","","","","","","12.00","","12.00 CHF","1/7/2022"
"Polenta cake with Gruyère cheese, bacon and seasonal salad","Le Klee by Novae","b","c","","","5.5","6.5","8","7","","","","","E 5.50 CHFD 6.50 CHFC 7.00 CHFV 8.00 CHF","1/7/2022"
"Endives with ham and gruyere cheese au gratin","Microcity","b","c","","","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","1/7/2022"
"Buckwheat pancakes, leek fondue, goat cheese, perfect egg and toast
 vegetarian","Microcity","a-","b","1","","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","1/7/2022"
"Penne with garlic and peppers, pesto, spinach shoots and parmesan crumble
 vegetarian","Microcity","a-","b","1","","7.5","8","9","8.5","","","","","E 7.50 CHFD 8.00 CHFC 8.50 CHFV 9.00 CHF","1/7/2022"
"Buddha Bowl with smoked salmon, mango and vinaigrette","Microcity","a-","b","","","12","12","12","12","","","","","E 12.00 CHFD 12.00 CHFC 12.00 CHFV 12.00 CHF","1/7/2022"
"Roasted Scottish salmon steak with citrus fruits and spinach risottoOrigin: Ecosse","Ornithorynque","a","c","","Ecosse","12","13","15","14","","","","","E 12.00 CHFD 13.00 CHFC 14.00 CHFV 15.00 CHF","1/7/2022"
"Fusilli ""Grano d'oro"", broccoli, tomato sauce, arugula","Ornithorynque","b+","c","","","5.5","6.5","8","7","","","","","E 5.50 CHFD 6.50 CHFC 7.00 CHFV 8.00 CHF","1/7/2022"
"Orni'Burger- 100% Swiss beef burger with relishOrigin: Suisse","Ornithorynque","b-","c","","Suisse","9","9.5","11","10","","","","","E 9.00 CHFD 9.50 CHFC 10.00 CHFV 11.00 CHF","1/7/2022"
"Chef Noï's Asia salad","Alpine","b-","b","","","5.5","6.5","8","7","","","","","E 5.50 CHFD 6.50 CHFC 7.00 CHFV 8.00 CHF","1/10/2022"
"Veggie Croquettes with Calypso sauce
Boulgour
Baked root","Alpine","b+","a","","","8","9","11","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 11.00 CHF","1/10/2022"
"Chef Noï's Pad Thaï
Sautéed vegetables
cébette","Alpine","a","c","","","10.5","11","12.5","11.5","","","","","D 11.00 CHFE 10.50 CHFC 11.50 CHFV 12.50 CHF","1/10/2022"
"Grilled vegetable ravioli
Matured cheese cream
Parmesan shavings
Bouquet of arugula","Alpine","b","b","","","11.5","12","13.5","12.5","","","","","E 11.50 CHFD 12.00 CHFC 12.50 CHFV 13.50 CHF","1/10/2022"
"Tortelli with mushrooms and 4 cheese sauce vegetarian","Arcadie","b-","b","1","","","","","","2.3","","","","2.30 CHF/100g","1/10/2022"
"Whole wheat penne gratin with cream of squash and grana padano vegetarian","Arcadie","a","b","1","","5.5","6.5","8","7","","","","","E 5.50 CHFD 6.50 CHFC 7.00 CHFV 8.00 CHF","1/10/2022"
"Mozzarella balls, dried tomatoes, capers, caponata, wheat semolina, salad vegetarian","Arcadie","b+","c","1","","","","","","","","12.00","","12.00 CHF","1/10/2022"
"Polpette con rigatoni
with lentils and vegetables bolognese
 vegetarian","Campus Biotech","a","d","1","","","","","","","","0.00","","0.00 CHF","1/10/2022"
"Nasi Goreng with vegetables vegetarian","Epicure","a","b","1","","6.5","7.5","9","8","","","","","E 6.50 CHFD 7.50 CHFC 8.00 CHFV 9.00 CHF","1/10/2022"
"La pâte du jour
Sauce Pesto
fromage râpé","Esplanade","b","c","","","8","9","11","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 11.00 CHF","1/10/2022"
"Pizza margherita","Esplanade","b","c","","","7.5","8.5","10","9","","","","","E 7.50 CHFD 8.50 CHFC 9.00 CHFV 10.00 CHF","1/10/2022"
"Pizza Romana","Esplanade","b","c","","","9","10","12","11","","","","","E 9.00 CHFD 10.00 CHFC 11.00 CHFV 12.00 CHF","1/10/2022"
"Salade végétarienne:
Pousse d'épinards, Courge rôtie, Gruyère Suisse, Noix, Falafel et Origan frais vegetarian","Giacometti","c","d","1","","","","","","","","8.00","","8.00 CHF","1/10/2022"
"Salade de saison au poulet:
Mesclun, champignons poêlés, choux rouge vinaigré framboise, poulet et croutons aux herbes Origin: CH","Giacometti","b","e","","CH","","","","","","","8.00","","8.00 CHF","1/10/2022"
"Notre gamme de sandwichs:
Assortiment varié (Dinde fumée, tomate mozza...)","Giacometti","b-","e","","","","","","","","","7.00","","7.00 CHF","1/10/2022"
"Valaisan Chicken Cutlet
Accompanied by wild rice and roasted squashOrigin: Suisse","La Ruche","a+","d","","Suisse","11","12","14","13","","","","","E 11.00 CHFD 12.00 CHFC 13.00 CHFV 14.00 CHF","1/10/2022"
"Sliced seitan with spices
Homemade Rösti and carrots","La Ruche","a","c","","","8","9","0","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 0.00 CHF","1/10/2022"
"Macaroni du Chalet (leeks, Gruyère) vegetarian","Le Klee by Novae","a-","b","1","","7.5","8.5","10","9","","","","","E 7.50 CHFD 8.50 CHFC 9.00 CHFV 10.00 CHF","1/10/2022"
"Planted Kebab, grilled eggplant, pita bread
 vegetarian","Microcity","a","c","1","","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","1/10/2022"
"Squash and Walnut Quiche vegetarian","Microcity","a","b","1","","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","1/10/2022"
"Parmesan omelette, green salad or soup vegetarian","Microcity","c","c","1","","7.5","8","9","8.5","","","","","E 7.50 CHFD 8.00 CHFC 8.50 CHFV 9.00 CHF","1/10/2022"
"Vegetarian Buddha Bowl vegetarian","Microcity","b+","c","1","","12","12","12","12","","","","","E 12.00 CHFD 12.00 CHFC 12.00 CHFV 12.00 CHF","1/10/2022"
"Tofu curry lait de coco, riz et legumes croquants (brocolis, carottes, chou chinois, mungo)","Native","a","c","","","10.5","11","12.5","11.5","","","","","V 12.50 CHFE 10.50 CHFD 11.00 CHFC 11.50 CHF","1/10/2022"
"Burger Vegan
Buns, steak, salade, compotée d'oignons, sauce burger végan, frites","Native","b+","c","","","10.5","11","12.5","11.5","","","","","E 10.50 CHFD 11.00 CHFC 11.50 CHFV 12.50 CHF","1/10/2022"
"Vegetarian galette with spinach, emmental cheese and herb creamOrigin: CH vegetarian","Niki","b-","d","1","CH vegetarian","","","","","","","8.50","","8.50 CHF","1/10/2022"
"Gourmet waffle, eggplant caviar, tomato confit, arugula and parmesan shavings vegetarian","Niki","a-","d","1","","","","","","","","8.50","","8.50 CHF","1/10/2022"
"[Aloo gobi] Carrots, vegetable samoussas, lentil dahl, coriander cottage cheese vegetarian","Ornithorynque","b+","c","1","","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","1/10/2022"
"Sorrento gnocchi with mozzarella cheese au gratin vegetarian","Ornithorynque","a-","c","1","","7.5","8.5","10","9","","","","","E 7.50 CHFD 8.50 CHFC 9.00 CHFV 10.00 CHF","1/10/2022"
"Quiche with Swiss Gruyère AOP and spinach, green salad vegetarian","Ornithorynque","c-","c","1","","8","8.5","9.5","9","","","","","E 8.00 CHFD 8.50 CHFC 9.00 CHFV 9.50 CHF","1/10/2022"
"Vegetarian noodles with vegetables, soy and Thai sauce vegetarian","Ornithorynque","a","c","1","","9","9.5","11","10","","","","","E 9.00 CHFD 9.50 CHFC 10.00 CHFV 11.00 CHF","1/10/2022"
"Blanquette of vegetarian minced rice pilaw and peas vegetarian","PUUR","c","d","1","","","","","","","","14.90","","14.90 CHF","1/10/2022"
"Gnocchi al Gorgonzola, roasted nuts and fresh arugula vegetarian","PUUR","b","d","1","","","","","","","","14.90","","14.90 CHF","1/10/2022"
"1/2 Candied eggplant and grilled vegetables antipasti style vegetarian","Piano","c","c","1","","7.5","9","12","10","","","","","E 7.50 CHFD 9.00 CHFC 10.00 CHFV 12.00 CHF","1/10/2022"
"Fiore tomato mozza with basil sauce vegetarian","Piano","a-","d","1","","","","","","","","11.50","","11.50 CHF","1/10/2022"
"Vegetarian Grill:
Vegetable Steak vegetarian","Piano","b-","c","1","","","","","","","","8.50","","8.50 CHF","1/10/2022"
"Notre carte de Pizzas:
Assortiment varié (4 saisons, Reine,  buffalina...)","Piano","b-","e","","","","","","","","","13.50","","13.50 CHF","1/10/2022"
"Salade végétarienne:
Pousse d'épinards, Courge rôtie, Gruyère Suisse, Noix, Falafel et Origan frais vegetarian","Piano","c","d","1","","","","","","","","11.00","","11.00 CHF","1/10/2022"
"Chef Noï's Asia salad","Alpine","b-","b","","","5.5","6.5","8","7","","","","","E 5.50 CHFD 6.50 CHFC 7.00 CHFV 8.00 CHF","1/11/2022"
"Squid à la Romaine
Aïoli Sauce
Crunchy Vegetables","Alpine","b+","c","","","8","9","11","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 11.00 CHF","1/11/2022"
"Massaman Curry
Poultry and vegetables
Thai Rice","Alpine","b+","c","","","10.5","11","12.5","11.5","","","","","D 11.00 CHFE 10.50 CHFC 11.50 CHFV 12.50 CHF","1/11/2022"
"Breaded slice of Swiss Pork, lemon wedge
Coquillettes with butter
Steamed carrots","Alpine","a-","c","","","12.5","13","14.5","13.5","","","","","E 12.50 CHFD 13.00 CHFC 13.50 CHFV 14.50 CHF","1/11/2022"
"Orecchiette with anchovies, broccoli cream, almonds and olives
				
Origin: Espagne","Arcadie","a","c","","Espagne","","","","","2.3","","","","2.30 CHF/100g","1/11/2022"
"Whole wheat penne gratin with cream of squash and grana padano vegetarian","Arcadie","a","b","1","","5.5","6.5","8","7","","","","","E 5.50 CHFD 6.50 CHFC 7.00 CHFV 8.00 CHF","1/11/2022"
"Mozzarella balls, dried tomatoes, capers, caponata, wheat semolina, salad vegetarian","Arcadie","b+","c","1","","","","","","","","12.00","","12.00 CHF","1/11/2022"
"Roasted pork
Fig mustard
Lyonnaise apples
Baked carrotsOrigin: Suisse","Campus Biotech","a","e","","Suisse","","","","","","","0.00","","0.00 CHF","1/11/2022"
"Nasi Goreng with vegetables vegetarian","Epicure","a","b","1","","6.5","7.5","9","8","","","","","E 6.50 CHFD 7.50 CHFC 8.00 CHFV 9.00 CHF","1/11/2022"
"Pasta of the day
Spicy tomato sauce
Grated cheese","Esplanade","b","c","","","8","9","11","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 11.00 CHF","1/11/2022"
"Pizza margherita","Esplanade","b","c","","","7.5","8.5","10","9","","","","","E 7.50 CHFD 8.50 CHFC 9.00 CHFV 10.00 CHF","1/11/2022"
"Pizza Kebab Yogurt Sauce","Esplanade","b","c","","","9","10","12","11","","","","","E 9.00 CHFD 10.00 CHFC 11.00 CHFV 12.00 CHF","1/11/2022"
"Salade végétarienne:
Pousse d'épinards, Courge rôtie, Gruyère Suisse, Noix, Falafel et Origan frais vegetarian","Giacometti","c","d","1","","","","","","","","8.00","","8.00 CHF","1/11/2022"
"Salade de saison au poulet:
Mesclun, champignons poêlés, choux rouge vinaigré framboise, poulet et croutons aux herbes Origin: CH","Giacometti","b","e","","CH","","","","","","","8.00","","8.00 CHF","1/11/2022"
"Notre gamme de sandwichs:
Assortiment varié (Dinde fumée, tomate mozza...)","Giacometti","b-","e","","","","","","","","","7.00","","7.00 CHF","1/11/2022"
"Vegetable tagine with sesame
Composed of chickpeas, celery, parsnips and potatoes","La Ruche","a","a","","","8","9","0","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 0.00 CHF","1/11/2022"
"Spelt Risotto
With mushrooms and vegetable brunoise
Sprinkled with shavings of Grana Padano cheese","La Ruche","a","c","","","11","12","0","13","","","","","E 11.00 CHFD 12.00 CHFC 13.00 CHFV 0.00 CHF","1/11/2022"
"Macaroni du Chalet (leeks, Gruyère) vegetarian","Le Klee by Novae","a-","b","1","","7.5","8.5","10","9","","","","","E 7.50 CHFD 8.50 CHFC 9.00 CHFV 10.00 CHF","1/11/2022"
"Lamb moussaka and green saladOrigin: Suisse","Microcity","a","c","","Suisse","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","1/11/2022"
"Arancini with tomato and mozzarella, grilled vegetables vegetarian","Microcity","a","b","1","","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","1/11/2022"
"Parmesan omelette, green salad or soup vegetarian","Microcity","a-","b","1","","7.5","8","9","8.5","","","","","E 7.50 CHFD 8.00 CHFC 8.50 CHFV 9.00 CHF","1/11/2022"
"Shrimp cocktail with citrus fruits, raw vegetables and semolina
Origin: Argentine","Microcity","b+","b","","Argentine","12","12","12","12","","","","","E 12.00 CHFD 12.00 CHFC 12.00 CHFV 12.00 CHF","1/11/2022"
"Cevapcici, riz, chou frisé, pickles d'oignons rouge au vinaigre de framboise et crémeux de pois cassé","Native","a-","b","","","10.5","11","12.5","11.5","","","","","V 12.50 CHFE 10.50 CHFD 11.00 CHFC 11.50 CHF","1/11/2022"
"ZAPIEKANKA : Demi baguette, sauce tomate, champignon, fromage vegan, frites","Native","b+","b","","","10.5","11","12.5","11.5","","","","","E 10.50 CHFD 11.00 CHFC 11.50 CHFV 12.50 CHF","1/11/2022"
"Grilled chicken, spinach, emmental and herb cream galetteOrigin: CH","Niki","c+","e","","CH","","","","","","","8.50","","8.50 CHF","1/11/2022"
"Gourmet waffle, eggplant caviar, tomato confit, arugula and parmesan shavings vegetarian","Niki","a-","d","1","","","","","","","","8.50","","8.50 CHF","1/11/2022"
"Turkey escalope with marsala, paprika gnocchi and broccoliOrigin: Suisse","Ornithorynque","a","c","","Suisse","12","13","15","14","","","","","E 12.00 CHFD 13.00 CHFC 14.00 CHFV 15.00 CHF","1/11/2022"
"Farfalle with smoked salmon, carrots and dill creamOrigin: Ecosse","Ornithorynque","a-","c","","Ecosse","6.5","7.5","9","8","","","","","E 6.50 CHFD 7.50 CHFC 8.00 CHFV 9.00 CHF","1/11/2022"
"Quiche with Swiss Gruyère AOP and spinach, green salad vegetarian","Ornithorynque","a","c","1","","8","8.5","9.5","9","","","","","E 8.00 CHFD 8.50 CHFC 9.00 CHFV 9.50 CHF","1/11/2022"
"Vegetarian noodles with vegetables, soy and Thai sauce vegetarian","Ornithorynque","a","c","1","","9","9.5","11","10","","","","","E 9.00 CHFD 9.50 CHFC 10.00 CHFV 11.00 CHF","1/11/2022"
"Mushroom omelette with potato and herb gratin vegetarian","PUUR","b","d","1","","","","","","","","14.90","","14.90 CHF","1/11/2022"
"Complete spaghetti Bolognese pure beef with tomato sauce and cheese shavings green saladOrigin: CH","PUUR","a","e","","CH","","","","","","","14.90","","14.90 CHF","1/11/2022"
"Beef entrecote with Bearnaise sauce, French fries and green saladOrigin: CH","PUUR","b-","e","","CH","","","","","","","","","PUUR","1/11/2022"
"Tomato ravioli with parmiggiana sauce vegetarian","Piano","b+","d","1","","7.5","9","12","10","","","","","E 7.50 CHFD 9.00 CHFC 10.00 CHFV 12.00 CHF","1/11/2022"
"Calamars grillés, blé crémeux et petits pois aux herbes","Piano","b+","d","","","","","","","","","13.50","","13.50 CHF","1/11/2022"
"Red grill:
Tagliata of fried beef saladOrigin: CH","Piano","b","e","","CH","","","","","","","15.50","","15.50 CHF","1/11/2022"
"Vegetarian Grill:
Vegetable Steak vegetarian","Piano","b-","c","1","","","","","","","","8.50","","8.50 CHF","1/11/2022"
